Step,NestId,Inactive,Assessing,Recruiting,Reversing
387,1,12,4,5,2
387,2,41,5,10,21
388,0,69,4,0,0
388,1,12,4,5,2
388,2,41,5,10,21
389,0,69,4,0,0
389,1,12,4,4,3
389,2,41,5,10,21
390,0,69,4,0,0
390,1,12,4,4,3
390,2,42,5,9,22
391,0,69,4,0,0
391,1,12,4,5,2
391,2,42,5,9,22
392,0,68,4,0,0
392,1,12,4,5,2
392,2,42,5,9,22
393,0,67,4,0,0
393,1,12,3,5,2
393,2,42,5,10,21
394,0,65,4,0,0
394,1,12,3,5,2
394,2,44,5,8,23
395,0,65,4,0,0
395,1,12,3,5,2
395,2,46,5,6,25
396,0,65,4,0,0
396,1,13,3,4,3
396,2,46,5,6,25
397,0,65,4,0,0
397,1,13,3,4,3
397,2,46,5,9,22
398,0,64,4,0,0
398,1,13,4,5,2
398,2,46,5,9,22
399,0,64,4,0,0
399,1,13,4,5,2
399,2,46,5,9,22
400,0,64,4,0,0
400,1,13,4,5,2
400,2,46,4,10,22
401,0,64,4,0,0
401,1,13,4,5,2
401,2,47,4,9,23
402,0,63,4,0,0
402,1,13,4,5,2
402,2,47,4,9,23
403,0,63,4,0,0
403,1,13,4,5,2
403,2,47,4,11,22
404,0,62,4,0,0
404,1,13,4,5,2
404,2,47,4,11,22
405,0,62,4,0,0
405,1,13,3,6,2
405,2,47,4,11,22
406,0,62,4,0,0
406,1,13,3,6,2
406,2,48,5,10,23
407,0,62,4,0,0
407,1,14,3,5,3
407,2,48,5,10,23
408,0,61,4,0,0
408,1,13,3,5,3
408,2,48,5,11,22
409,0,60,4,0,0
409,1,14,3,5,3
409,2,50,5,9,24
410,0,59,4,0,0
410,1,14,3,5,3
410,2,50,5,9,24
411,0,57,4,0,0
411,1,14,3,6,2
411,2,50,5,10,23
412,0,57,4,0,0
412,1,14,3,6,2
412,2,50,5,10,23
413,0,57,4,0,0
413,1,15,3,5,3
413,2,50,5,10,23
414,0,56,4,0,0
414,1,15,3,5,3
414,2,50,5,10,23
415,0,56,4,0,0
415,1,15,3,6,2
415,2,50,5,10,23
416,0,56,4,0,0
416,1,15,3,6,2
416,2,50,5,10,23
417,0,55,4,0,0
417,1,15,3,6,2
417,2,50,5,10,23
418,0,55,3,0,0
418,1,15,3,7,2
418,2,50,5,10,23
419,0,55,3,0,0
419,1,15,3,7,2
419,2,50,5,10,23
420,0,55,3,0,0
420,1,16,3,6,3
420,2,50,5,10,23
421,0,54,3,0,0
421,1,16,3,6,3
421,2,50,5,10,23
422,0,53,3,0,0
422,1,16,3,7,2
422,2,50,4,11,23
423,0,53,3,0,0
423,1,16,3,7,2
423,2,52,4,9,25
424,0,53,3,0,0
424,1,17,3,6,3
424,2,51,4,11,24
425,0,53,3,0,0
425,1,17,3,6,3
425,2,51,4,11,24
426,0,52,3,0,0
426,1,17,3,6,3
426,2,52,4,12,23
427,0,52,3,0,0
427,1,16,3,9,1
427,2,52,4,12,23
